coinswitch_pair,coin_id,coin_name
KAIA/INR,kaia,KAIA
SAND/INR,sand,
AERGO/INR,aergo,AERGO
AVNT/INR,avnt,
KAITO/INR,kaito,KAITO
TST/INR,tst,
USDC/INR,usdc,
ARKM/INR,arkm,
BIO/INR,bio,
GMT/INR,gmt,
LRC/INR,lrc,
MEMEFI/INR,memefi,
PEAQ/INR,peaq,
USDT/INR,usdt,
CAKE/INR,cake,
CATI/INR,cati,
POLYX/INR,polyx,
SEI/INR,sei,
SOL/INR,sol,
ZAMA/INR,zama,
ALT/INR,alt,
SAFE/INR,safe,SAFE
THETA/INR,theta,
TLM/INR,tlm,
TRU/INR,tru,
APT/INR,apt,
CAT/INR,cat,
FOGO/INR,fogo,
MORPHO/INR,morpho,MORPHO
ALPINE/INR,alpine,
FIDA/INR,fida,
SAHARA/INR,sahara,
A/INR,a,
ENS/INR,ens,
ETHFI/INR,ethfi,
HUMA/INR,huma,
METIS/INR,metis,
STG/INR,stg,
API3/INR,api3,API3
BLAST/INR,blast,BLAST
CELO/INR,celo,CELO
GTC/INR,gtc,
ORCA/INR,orca,ORCA
ADX/INR,adx,
CHILLGUY/INR,chillguy,
DEGEN/INR,degen,
EPIC/INR,epic,
NEIRO/INR,neiro,NEIRO
UMA/INR,uma,UMA
YB/INR,yb,
AXL/INR,axl,
GALA/INR,gala,GALA
GRASS/INR,grass,GRASS
ONE/INR,one,ONE
PHB/INR,phb,
PUMP/INR,pump,
SUPER/INR,super,
ACX/INR,acx,
BERA/INR,bera,
CPOOL/INR,cpool,
